model,boot,metric,rho,type,miller
BSAI_GT,0,SSB,0.722725117,Normal,TRUE
BSAI_GT,0,Bratio,-3.70474208,Normal,TRUE
BSAI_GT,0,F,-1.396746101,Normal,TRUE
BSAI_GT,0,SSB,2.304550922,WoodsHole,TRUE
BSAI_GT,0,Bratio,-3.045315848,WoodsHole,TRUE
BSAI_GT,0,F,-0.170608709,WoodsHole,TRUE
BSAI_GT,0,SSB,0.03698366,AFSC,TRUE
BSAI_GT,0,F,-0.110705815,AFSC,TRUE
BSAI_GT,0,Bratio,-0.38946687,AFSC,TRUE
EBS_Pcod,0,SSB,-0.290825432,Normal,TRUE
EBS_Pcod,0,Bratio,-0.083220592,Normal,TRUE
EBS_Pcod,0,F,0.445493655,Normal,TRUE
EBS_Pcod,0,SSB,-0.164698894,WoodsHole,TRUE
EBS_Pcod,0,Bratio,-0.024413886,WoodsHole,TRUE
EBS_Pcod,0,F,0.315405158,WoodsHole,TRUE
EBS_Pcod,0,SSB,-0.04154649,AFSC,TRUE
EBS_Pcod,0,F,0.063641951,AFSC,TRUE
EBS_Pcod,0,Bratio,-0.011888656,AFSC,TRUE
BSAI_FHS,0,SSB,-0.569811919,Normal,TRUE
BSAI_FHS,0,Bratio,0.232832307,Normal,TRUE
BSAI_FHS,0,F,0.809124133,Normal,TRUE
BSAI_FHS,0,SSB,-0.230996818,WoodsHole,TRUE
BSAI_FHS,0,Bratio,0.630716159,WoodsHole,TRUE
BSAI_FHS,0,F,0.262108457,WoodsHole,TRUE
BSAI_FHS,0,SSB,-0.046471291,AFSC,TRUE
BSAI_FHS,0,F,0.068163412,AFSC,TRUE
BSAI_FHS,0,Bratio,0.035081983,AFSC,TRUE
GOA_NRS,0,SSB,1.524026349,Normal,TRUE
GOA_NRS,0,Bratio,0.89371361,Normal,TRUE
GOA_NRS,0,F,-1.011050176,Normal,TRUE
GOA_NRS,0,SSB,1.581124977,WoodsHole,TRUE
GOA_NRS,0,Bratio,1.040172066,WoodsHole,TRUE
GOA_NRS,0,F,-1.017133539,WoodsHole,TRUE
GOA_NRS,0,SSB,0.21771805,AFSC,TRUE
GOA_NRS,0,F,-0.144435739,AFSC,TRUE
GOA_NRS,0,Bratio,0.127673373,AFSC,TRUE
GOA_SRS,0,SSB,0.161229325,Normal,TRUE
GOA_SRS,0,Bratio,-0.248296991,Normal,TRUE
GOA_SRS,0,F,-1.378137983,Normal,TRUE
GOA_SRS,0,SSB,0.141053927,WoodsHole,TRUE
GOA_SRS,0,Bratio,-0.282086434,WoodsHole,TRUE
GOA_SRS,0,F,-1.195646857,WoodsHole,TRUE
GOA_SRS,0,SSB,0.005050665,AFSC,TRUE
GOA_SRS,0,F,-0.129937406,AFSC,TRUE
GOA_SRS,0,Bratio,-0.034915904,AFSC,TRUE
GOA_Pcod,0,SSB,0.024161791,Normal,TRUE
GOA_Pcod,0,Bratio,-0.803915606,Normal,TRUE
GOA_Pcod,0,F,-0.764083363,Normal,TRUE
GOA_Pcod,0,SSB,-0.089484639,WoodsHole,TRUE
GOA_Pcod,0,Bratio,-0.980305228,WoodsHole,TRUE
GOA_Pcod,0,F,0.149924215,WoodsHole,TRUE
GOA_Pcod,0,SSB,0.003451684,AFSC,TRUE
GOA_Pcod,0,F,-0.109154766,AFSC,TRUE
GOA_Pcod,0,Bratio,-0.114845087,AFSC,TRUE
bluedeacon,0,SSB,3.21855102,Normal,TRUE
bluedeacon,0,Rec,3.746432551,Normal,TRUE
bluedeacon,0,Bratio,1.141708278,Normal,TRUE
bluedeacon,0,F,-1.956501386,Normal,TRUE
bluedeacon,0,SSB,1.926581318,WoodsHole,TRUE
bluedeacon,0,Rec,2.056351404,WoodsHole,TRUE
bluedeacon,0,Bratio,0.094540542,WoodsHole,TRUE
bluedeacon,0,F,-1.393133645,WoodsHole,TRUE
bluedeacon,0,SSB,0.385110272,AFSC,TRUE
bluedeacon,0,Rec,0.253649452,AFSC,TRUE
bluedeacon,0,F,-0.251500102,AFSC,TRUE
bluedeacon,0,Bratio,0.128727168,AFSC,TRUE
greenling,0,SSB,-3.213822048,Normal,TRUE
greenling,0,Rec,0.269086643,Normal,TRUE
greenling,0,Bratio,-2.018988117,Normal,TRUE
greenling,0,F,15.95923696,Normal,TRUE
greenling,0,SSB,-2.529376716,WoodsHole,TRUE
greenling,0,Rec,-2.453874911,WoodsHole,TRUE
greenling,0,Bratio,-0.434704529,WoodsHole,TRUE
greenling,0,F,6.633388506,WoodsHole,TRUE
greenling,0,SSB,-0.402515885,AFSC,TRUE
greenling,0,Rec,-0.172604251,AFSC,TRUE
greenling,0,F,1.638792475,AFSC,TRUE
greenling,0,Bratio,-0.241329206,AFSC,TRUE
dogfish,0,SSB,-5.904700847,Normal,TRUE
dogfish,0,Rec,-5.700121417,Normal,TRUE
dogfish,0,Bratio,-4.864097979,Normal,TRUE
dogfish,0,F,41.44744498,Normal,TRUE
dogfish,0,SSB,-4.665255492,WoodsHole,TRUE
dogfish,0,Rec,-4.482735771,WoodsHole,TRUE
dogfish,0,Bratio,-2.307645884,WoodsHole,TRUE
dogfish,0,F,16.14638026,WoodsHole,TRUE
dogfish,0,SSB,-0.734185018,AFSC,TRUE
dogfish,0,Rec,-0.70794727,AFSC,TRUE
dogfish,0,F,4.80712255,AFSC,TRUE
dogfish,0,Bratio,-0.599795874,AFSC,TRUE
